u.name,streamer_id,node_indegree
"""riotgames""","""36029255""",194559
"""xqcow""","""71092938""",171950
"""itsbigchase""","""129004176""",120736
"""esl_csgo""","""31239503""",111493
"""enardo""","""78131255""",109137
"""csgomc_ru""","""213748641""",91283
"""cblol""","""36511475""",73565
"""tommyinnit""","""116228390""",71223
"""trainwreckstv""","""71190292""",65630
"""lck_korea""","""190835892""",63066
"""auronplay""","""459331509""",62233
"""dota2mc_ru""","""213749122""",58507
"""baiano""","""140772558""",57224
"""lirik""","""23161357""",49620
"""dreamleague""","""50160915""",47858
"""rocketleague""","""57781936""",47058
"""ranboolive""","""489155160""",46665
"""fps_shaka""","""49207184""",45729
"""perxitaa""","""35980866""",44905
"""juansguarnizo""","""121510236""",44014
"""summit1g""","""26490481""",43855
"""baboabe""","""52028814""",43697
"""stylishnoob4""","""50988750""",43474
"""amouranth""","""125387632""",41043
"""thisisnotgeorgenotfound""","""654556126""",39321
"""clix""","""233300375""",39062
"""fundy""","""93028922""",38565
"""elraenn""","""165080419""",38370
"""roshtein""","""72550899""",37824
"""cohhcarnage""","""26610234""",37679